pr_number;created_at;merged_at;time_to_merge_hours;changed_files;lines_changed;total_comments;total_reviews;pr_title;pr_body;has_changes_requested;main_module;cross_modules;labels_list;inferred_task_type;commit_messages
136484;2026-01-23T22:51:52Z;2026-01-24T06:49:26Z;7,96;1;16;8;1;Fix container_restart_test AfterEach failing when CRI Proxy is undefined;"Two test contexts were failing because their AfterEach blocks run even when BeforeEach skips the test (standard Ginkgo behavior). This caused resetCRIProxyInjector to fail with ""CRI Proxy is undefined"".Switched to using DeferCleanup inside BeforeEach instead, which only runs if BeforeEach succeeds. This is the same pattern the other test contexts in this file already use.Example log from https://storage.googleapis.com/kubernetes-ci-logs/logs/ci-kubernetes-node-kubelet-serial-containerd/2014731738818809856/artifacts/e2-standard-2-ubuntu-gke-2404-1-34-amd64-v20260120-2233b8ac/e2-standard-2-ubuntu-gke-2404-1-34-amd64-v20260120-2233b8ac-ginkgo.log  I0123 16:45:14.060787    1852 container_restart_test.go:107] Unexpected error:       <*errors.errorString | 0xc000c27f40>:       failed to reset injector because the CRI Proxy is undefined      {          s: ""failed to reset injector because the CRI Proxy is undefined"",      }  [FAILED] in [AfterEach] - k8s.io/kubernetes/test/e2e_node/container_restart_test.go:107 @ 01/23/26 16:45:14.061  I0123 16:45:14.061369    1852 helper.go:125] Waiting up to 7m0s for all (but 0) nodes to be ready  STEP: Destroying namespace ""container-restart-5335"" for this suite. @ 01/23/26 16:45:14.064S [SKIPPED] [10.311 seconds][sig-node] Container Restart [Feature:CriProxy] [Serial] Reduced default container restart backs off as expected [BeforeEach] Reduced default restart backs off. [sig-node, Feature:CriProxy, Serial]  [BeforeEach] k8s.io/kubernetes/test/e2e_node/container_restart_test.go:99  [It] k8s.io/kubernetes/test/e2e_node/container_restart_test.go:110What type of PR is this?/kind failing-testWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:";FALSE;test;test;area/test, lgtm, sig/node, size/S, release-note-none, approved, cncf-cla: yes, sig/testing, kind/failing-test, needs-priority;bugfix;"Fix container_restart_test AfterEach failing when CRI Proxy is undefined  Two test contexts were failing because their AfterEach blocks run even when BeforeEach skips the test (standard Ginkgo behavior). This caused resetCRIProxyInjector to fail with ""CRI Proxy is undefined"".  Switched to using DeferCleanup inside BeforeEach instead, which only runs if BeforeEach succeeds. This is the same pattern the other test contexts in this file already use.  Signed-off-by: Davanum Srinivas <davanum@gmail.com>"
136442;2026-01-22T22:29:51Z;2026-01-24T05:03:56Z;30,57;2;11;5;6;add util-linux to agnhost so we can replace ipc-utils with agnhost;What type of PR is this?/kind cleanup/triage acceptedWhat this PR does / why we need it:ipc-utils is an alpine based image that only installs util-linux. We can remove the ipc-utils image by installing util-linux in agnhost and using it.https://github.com/kubernetes/kubernetes/blob/master/test/images/ipc-utils/DockerfileWhich issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;TRUE;test;test;area/test, kind/cleanup, lgtm, size/S, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority, triage/accepted;feature;add util-linux-misc to agnhost so we can replace ipc-utils with agnhost
136052;2026-01-06T09:28:57Z;2026-01-24T05:03:48Z;427,58;1;26;9;0;Added missing tests for client-go metrics;What type of PR is this?/kind cleanupWhat this PR does / why we need it:This PR adds missing tests for some of the client-go metrics.In #134420, I had added a new metric, but it was discussed in the review that the new metric is redundant. While working on this issue, I realized that there were tests missing for some of the metrics and had brought it up in the SIG meeting.Which issue(s) this PR is related to:N/ASpecial notes for your reviewer:Does this PR introduce a user-facing change?Added missing tests for client-go metricsAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:N/A;FALSE;staging;staging;kind/cleanup, lgtm, release-note, size/S, approved, cncf-cla: yes, sig/instrumentation, sig/architecture, needs-priority, needs-triage;feature;Added missing tests for client-go metrics  Signed-off-by: sreeram-venkitesh <sreeramvenkitesh@gmail.com>
135761;2025-12-16T00:13:19Z;2026-01-24T05:03:31Z;940,84;19;485;14;10;feat: wire admissionregistration group for declarative validation and +k8s:required to ValidatingAdmissionPolicyBindingSpec.PolicyName;"/kind feature/sig api-machinery/sig authWhat this PR does / why we need itEnables the validation-gen framework for the admissionregistration.k8s.io API group (v1, v1beta1, v1alpha1).Adds Declarative Validation (DV) support for ValidatingAdmissionPolicyBinding, focusing on spec.policyName.Maintains parity with existing hand-written strategy validation as part of the incremental DV migration.Marks the corresponding legacy validation logic for spec.policyName as covered by DV to avoid duplicate/partial coverage confusion during the transition.Which issue(s) this PR is related toPart of #134280Part of #135752Special notes for your reviewerScope is limited to enabling validation-gen + DV coverage for ValidatingAdmissionPolicyBinding.spec.policyName; no user-visible behavior changes intended.Includes unit tests that verify parity between declarative and hand-written validations (create/update paths).Follow-ups can extend DV coverage to additional ValidatingAdmissionPolicyBinding fields and related admissionregistration types.Test planTable-driven unit tests covering:Create & update validation for v1, v1beta1, and v1alpha1Required field validation for spec.policyNameParity checks via VerifyValidationEquivalence and VerifyUpdateValidationEquivalenceDoes this PR introduce a user-facing change?NONE";FALSE;api;api, pkg, staging;lgtm, size/L, kind/api-change, release-note-none, approved, cncf-cla: yes, sig/architecture, area/code-generation, needs-priority, needs-triage;feature;feat(admissionregistration): wire group for declarative validation and require PolicyName
135694;2025-12-10T09:03:44Z;2026-01-24T03:31:26Z;1074,46;3;12;6;1;Update cri-tools to v1.35.0;What type of PR is this?/kind cleanupWhat this PR does / why we need it:Update cri-tools to the latest release.Which issue(s) this PR is related to:Part of  kubernetes-sigs/cri-tools#1953Special notes for your reviewer:Does this PR introduce a user-facing change?Updated cri-tools to v1.35.0.Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:None;FALSE;build;build, cluster;kind/cleanup, lgtm, area/provider/gcp, sig/node, release-note, size/S, approved, cncf-cla: yes, sig/cloud-provider, needs-priority;other;Update cri-tools to v1.35.0  Signed-off-by: Sascha Grunert <sgrunert@redhat.com>
136325;2026-01-19T13:25:40Z;2026-01-21T00:07:25Z;34,70;2;24;15;2;fix(expansion):Resolve the issue of UTF-8 characters being truncated;What type of PR is this?/kind bugWhat this PR does / why we need it:The tryReadVariableName function uses string (input [0]) to only take the first byte, and multi byte UTF-8 characters are truncated, resulting in invalid UTF-8The $+non ASCII characters in the environment variable value will be corrupted, resulting in invalid UTF-8 that will be rejected by the strict validation of gRPC v1.72+, causing container creation failure: grpc: error while marshalling: string field contains invalid UTF-8Which issue(s) this PR is related to:Fixes:#136323 (comment)Fixes a 1.34 regression starting pods with environment variables with a value containing `$` followed by a multi-byte character;FALSE;third_party;third_party;kind/bug, lgtm, release-note, size/S, approved, cncf-cla: yes, sig/architecture, ok-to-test, needs-priority, kind/regression;bugfix;fix(expansion):Resolve the issue of UTF-8 characters being truncated, resulting in invalid UTF-8
136444;2026-01-23T01:30:15Z;2026-01-24T02:09:35Z;24,66;34;50;6;1;drop armv7 from our e2e test images;What type of PR is this?/kind cleanupWhat this PR does / why we need it:We dropped support for arm32 in #115742perl and nonewprivs are being deleted entirely in separate PRs.Also, the images I changed that didn't have semver versioning, now have it./cc @dimsWhich issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, kind/cleanup, lgtm, size/M, release-note-none, approved, cncf-cla: yes, sig/testing, needs-priority, needs-triage;test;drop armv7 from our e2e test images
135291;2025-11-13T13:44:40Z;2026-01-24T02:09:28Z;1716,41;1;2;4;0;fix case title in kubelet/server unit;What type of PR is this?/kind bugWhat this PR does / why we need it:fix a minor issue that a title of unit case is wrong. :)Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:NONE/triage accepted/priority backlog/sig node;FALSE;pkg;pkg;kind/bug, priority/backlog, area/kubelet, lgtm, sig/node, size/XS, release-note-none, approved, cncf-cla: yes, triage/accepted;bugfix;chore: fix case title in kubelet/server unit
136379;2026-01-21T09:07:59Z;2026-01-24T01:13:27Z;64,09;1;4;20;6;cleanup: improve darwin error messages;What type of PR is this?/kind cleanupWhat this PR does / why we need it:While reviewing the hack/ directory, I noticed stale TODOs regarding Kubelet and kube-proxy support on Darwin. Since native support is not planned and the community standard has shifted to tools like kind for macOS development, I have removed these TODOs and updated the error messages to provide more helpful guidance to users.Which issue(s) this PR is related to:Fixes #NONEN/ASpecial notes for your reviewer:This is my first contribution to the Kubernetes project. As a Senior DevOps Engineer, I wanted to start by cleaning up technical debt in the internal tooling scripts used for local development.Does this PR introduce a user-facing change?NONE;FALSE;hack;hack;kind/cleanup, lgtm, sig/cluster-lifecycle, size/XS, release-note-none, approved, cncf-cla: yes, ok-to-test, needs-priority, needs-triage;bugfix;cleanup: improve darwin error messages
136486;2026-01-23T23:20:16Z;2026-01-24T00:21:27Z;1,02;1;2;4;1;Add timeout to ImagePullTest poll loop to prevent infinite hangs;ImagePullTest was using wait.PollUntilContextCancel which has no timeout, causing tests to hang for hours when the expected container state is never reached (e.g., ErrImageNeverPull).Changed to wait.PollUntilContextTimeout with ContainerStatusRetryTimeout (5 minutes), matching the pattern used by other tests in the same file.What type of PR is this?/kind failing-testWhat this PR does / why we need it:Which issue(s) this PR is related to:Special notes for your reviewer:Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:;FALSE;test;test;area/test, lgtm, sig/node, size/XS, release-note-none, approved, cncf-cla: yes, sig/testing, kind/failing-test, needs-priority;feature;Add timeout to ImagePullTest poll loop to prevent infinite hangs  ImagePullTest was using wait.PollUntilContextCancel which has no timeout, causing tests to hang for hours when the expected container state is never reached (e.g., ErrImageNeverPull).  Changed to wait.PollUntilContextTimeout with ContainerStatusRetryTimeout (5 minutes), matching the pattern used by other tests in the same file.  Signed-off-by: Davanum Srinivas <davanum@gmail.com>
134345;2025-09-30T17:17:53Z;2025-11-11T15:18:57Z;1006,02;34;3447;31;64;Implement RestartAllContainers;What type of PR is this?/kind featureWhat this PR does / why we need it:Implement RestartAllContainers KEP: kubernetes/enhancements#5532Which issue(s) this PR is related to:KEP: kubernetes/enhancements#5532Special notes for your reviewer:Does this PR introduce a user-facing change?Allows restart all containers when the source container exits with a matching restart policy rule. This is an alpha feature behind feature gate RestartAllContainersOnContainerExit.Additional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:- [KEP]: https://github.com/kubernetes/enhancements/issues/5532;FALSE;pkg;pkg, staging, test;area/test, priority/important-soon, area/kubelet, lgtm, sig/node, release-note, size/XXL, kind/api-change, sig/apps, approved;feature;Implement restartPod action | add disruptive tests | Refactor validation | Add dependency for NodeDeclaredFeatures | Keep pod in running state and prune past container status from runtime
